review,sentiment
"I loved this movie. It is a definite inspirational movie. It fills you with pride. This movie is worth the rental or worth buying. It should be in everyones home. Best movie I have seen in a long time. It will make you mad because everyone is so mean to Carl Brashear, but in the end it gets better. It is a story of romance, drama, action, and plenty of funny lines to keep you tuned in. I love a lot of the quotes. I use them all the time. They help keep me on task of what I want to do. It shows that anyone can achieve their dreams, all they have to do is work for it. It is a long movie, but every time I watch it, I never notice that it is as long as it is. I get so engrossed in it, that it goes so quick. I love this movie. I watch it whenever I can.",positive
"While it certainly wasn't the best movie I've ever seen, it was certainly worth the $8 (which can't be said for many movies these days.)<br /><br />This was a pleasant account of a true story, although many of the details of the real story were twisted for the movie, (ie, Billy Sunday's character was three or four people in the real story combined together.) Robert DeNiro was of course good, and Cuba Gooding, Jr., was also impressive.",positive
"The plot is real horrific, the atmosphere really depressive, unusual for a low-budget production like that, and at least, for a German production. A little bit of Indian spirituality, mystic thriller and slasher movie mixed together. The development of plot and characters are great, the sets very close to reality, without any studio-atmosphere. It could be perfect, but at unfortunately some things were a little bit disappointing, what don't inevitably have to be typically for low-budget movies:<br /><br />1.) The cast sometimes is not more than average. Almost every actor look like a layman. Some of them do a good, or a very good job, but some are acting like the actors of crappy German court-shows! But I was very, very disappointed of the acting of Mathieu Carrière! His acting ( in a lots of of his older movies his acting was fine ) here was below-average! But that could be the reason, why he today takes part in crappy German soaps or TV-series on private channels.<br /><br />2.) The dialogs are sometimes on soap-opera-level. <br /><br />3.) The bad sound made it sometimes very hard to understand, what the characters are saying. I saw it on DVD and was glad to could rewind and to listen it again. It caused by the set ( big halls as in the hospital or with the esoterically group ) and sometimes the strange dialects of the actors!<br /><br />But all in all, it is an interesting movie, worth to watch it, far beyond the commercially movies, which are often more terrible.",positive
"Imagine the most depressing winter you will never experience: grey instead of white, no snow fights and certainly no wonderlands. This is the Finland as portrayed by 'Frozen Land'. This film follows a bunch of people whose lives are oddly linked to each others' with results beyond anyone's nightmares. Yes, most characters are flawed in the way that only celluloid characters can - completely annoying and frustrating to watch, yet for some reason you wish for their luck to turn. <br /><br />With some randomly placed humour and a cast that groups together Finland's somewhat mainstream faces, Frozen Land offers a glimpse of the Finnish mentality that despite its depressing downward spirals manages to restore some faith in humanity. More so than Kaurismäki, to say the least.",positive
"What a tribute to his father! He set out on a quest to learn more about a man whom he knew little of, and by the end of the journey, I believe Nathaniel Kahn is content with what he learned and personally felt. The film is 5 years in the making, and a quarter of a century after his death, Louis I. Kahn's total commitment in his work - consistent strong desire to build buildings that are meaningful to humanity and timeless to the whole world, with insight into his life is proudly depicted by his son Nathaniel in the documentary ""My Architect: A Son's Journey"".<br /><br />The film is by no means an anthology of Louis' work. There are plenty of books and archived materials that have records of Louis Kahn's projects and buildings. This documentary works like a mystery, writer-director and co-producer Nathaniel Kahn was searching for the man whom he briefly knew as his father. <br /><br />The film is in chapters. In ""Heading West,"" we're at the Salk Institute for Biological Studies at La Jolla, California. It's a sight worth beholding - Kahn's integral concept of building and environment, optimizing light for the scientists at work is amazing. From a former colleague who worked with 'Lou' 35 years ago, we hear about his meticulous attention to detail, also how 'rambunctious' he could be - certainly didn't mince words in his criticism. A memorable scene is when the camera pulled back wide and we see Nathaniel skating around at the plaza area of the Salk Institute - a tiny figure, like a child happily playing in the bowl of his father's hands. <br /><br />The ""Immigrant"" segment brought us to meet Anne Tyng, the architect who collaboratively worked with 'Lou' and also bore him a daughter, Alex. Now at 80, Tyng's return with Nathaniel's film crew to the Bath House project at Trenton, New Jersey, was nostalgic. In ""Go to sea,"" we get to see the Barge for American Wind Symphony Orchestra - all made of steel, and meeting Robert Boudreau, who was surprised by Nathaniel when he finally told him he's 'Lou's' son. Boudreau was touched, he said he had seen Nathaniel when he was six, with his Mom (Harriet Pattison), and he was not to tell anyone that Lou had a son. It was a 'chokingly' emotional moment of reunion.<br /><br />Like his father ""The Nomad,"" Nathaniel traveled to Jerusalem, and learned about the Synagogue project that his father began but not realized. He visited the wailing wall, and seeing his yarmulke kept falling off/being 'breezed off' his head gave me a sense that he need not be 'totally' Jewish to be his father's son. We continue with sitting down with his two half-sisters at the ""Family Matters"" segment. We also hear him conversing with his Mom at Maine, and from talking to previous office personnel at his father's office, we come to know how his father intensely worked and practically lived there, sleeping on a carpet on the office floor, weekends and all. <br /><br />""The End of the Journey"" brought us to Ahmedabad, India, to the Indian Institute of Management building. Talking with architect B.V. Doshe was a revelation. In the end, Nathaniel found a very much alive Louis Kahn, his father - his spirits live within him. This documentary is very much a tear-jerker for me. I was teary-eyed most of the time - it was very touching and am in awe of the man, the architect and his son, and the women in his life besides his famous works and buildings. Louis I. Kahn wanted to give his love to the 'whole world,' juggling work and three families (you might say he has three women in his life to keep his inspiration going). As Shamsul Wares, the architect at the Capital of Bangladesh complex (completed 9 years after 'Lou's' death) so poignantly noted: Louis Kahn has given the people of Bangladesh a lot, spending time at Bangladesh, understanding the culture of the place and people - as well as giving them democracy through what he has achieved, and for such a dedicated man, usually the people close to him he'd often miss seeing. It seems the price of being great comes with inevitable personal sacrifices. <br /><br />This film reminds me of King Vidor's ""The Fountainhead"" 1949 (good dramatic story in B/W with music by Max Steiner), based on Ayn Rand's novel, with Gary Cooper as the uncompromising architect who stands by his own ideals, and Patricia Neal as the parallel supportive woman in his life.<br /><br />",positive
"People call this a comedy, but when I just watched it, I laughed<br /><br />only once. I guess the problem is that I first saw it when I was 14,<br /><br />and I wasn't old enough to understand that it wasn't meant to be<br /><br />taken seriously. There were quite a few scenes that were meant<br /><br />to be funny, but I cared too much about the characters to laugh at<br /><br />them.<br /><br />I suggest that you watch this film next time you're falling in love,<br /><br />and try to take it seriously. I think you'll find that, despite a few silly<br /><br />flaws, it's one of the most moving love stories you've ever seen.",positive
"Although Lang's version is more famous,Borzage's work is not devoid of interest ,far from it:its ""celestial"" sequences are even better.The metaphor of the train (perhaps borrowed from the ending of Abel Gance's ""la roue"" ) is eventually more convincing than the ""up above"" heavenly world.<br /><br />Borzage's tenderness for his characters shows in Marie's character and love beyond the grave is one of his favorite subjects (the ending of ""three comrades"" ).The amusement park seems to be everywhere: we see it even when we are in Marie's poor house.I do not think that the sets are that much cheesy,they are stylized to a fault.The fair from a distance almost gives a sci-fi feel to the movie.<br /><br />Borzage never forgets his social concerns: in the heavenly train going up,the Rich cannot stand to be mixed up with the riffraff but as ""chief magistrate"" tells :""here there's no more difference"" .<br /><br />Not a major work for Borzage (neither is Lang's version),but to seek out if you are interested in the great director's career.",positive
"Let me say first off that I am a huge fan of the original series Lonesome Dove and the book it was based from. I have put off watching this sequel for the better part of 10 years due to the bad reviews I'd heard about it. If Tommy Lee Jones wasn't playing Capt. Call I didn't see the point. If Larry McMurtry wasn't involved why should I care? How wrong I was.<br /><br />This is in so many ways a worthy sequel to Lonesome Dove, maybe even more so than the dark mood of Streets Of Laredo. The story, acting, production, cinematography are all top-notch. Of course the script isn't as colorful as Lonesome Dove but it has it's moments. And, much to my surprise, there are bits of Lonesome Done in this series; the relationship between July and Clara, completely dismissed in the prequel, is brought up here almost identical to the book, a most welcome surprise. The story isn't all roses, it has it's surprises too. By far the biggest surprise is Jon Voight's interpretation of Capt. Call. While not a direct copy of Tommy Lee Jones' his is both faithful and unique to Voight's credit. The cast is fantastic all across the board, and I don't think Rick Schroeder has done a better job of acting than in this series. Oliver Reed practically steals the show here, he is superb in a role that makes you care for his character as equally as you hate him.<br /><br />It is worth it to watch this if you haven't due to bad criticisms, especially that the DVD is so affordable (I got the 2-disc set for $10.99, you can probably find it cheaper). It is in no way the disappointment that Dead Man's Walk turned out (well, it was for me). And MCMurtry was involved with that one!",positive
"During World War II, two Byelorussian (Soviet Russian) soldiers try to avoid being captured by occupying Nazis, as they trudge through snowy terrain, searching for food and safety. If you happen not to like black-and-white ""foreign"" films, you may still enjoy ""Voskhozhdeniye"" (retiled in English ""The Ascent""). Director Larisa Shepitko paces the film extraordinarily well, despite its being a largely introspective piece of work. Her untimely death, in a car accident, made this Ms. Shepitko's final film, unfortunately.<br /><br />After the opening mission is declared, there doesn't seem to be much that could happen in the snowy woods, but Shepitko and a changing setting make it unexpectedly exciting. Leading players Vladimir Gostyukhin (as the spiritually wounded ""Rybak"") and Boris Plotnikov (as the physically wounded 'Sotnikov"") successfully avoid being crushed by the ever increasing symbolism. Their allegorical performances, under Shepitko's sharp direction, provide a memorable and thought-provoking take on a familiar story.<br /><br />******** Voskhozhdeniye (4/2/77) Larisa Shepitko ~ Vladimir Gostyukhin, Boris Plotnikov, Lyudmila Polyakova, Anatoli Solonitsyn",positive
"Well, here's another terrific example of awkward 70's film-making! The rudimentary premise of ""What's the matter with Helen?"" is quite shocking and disturbing, but it's presented in such a stylish and sophisticated fashion! In the hands of any other movie crew, this certainly would have become a nasty and gritty exploitation tale, but with director Curtis Harrington (""Whoever Slew Auntie Roo?"") and scriptwriter Henry Farrell (""HushHushSweet Charlotte"") in charge, it became a beautiful and almost enchanting mixture of themes and genres. The basic plot of the film is definitely horrific, but there's a lot more to experience, like love stories, a swinging 1930's atmosphere and a whole lot of singing and tap-dancing! The setting is unquestionably what makes this movie so unique. We're literally catapulted back to the 1930's, with a sublime depiction of that era's music, religion, theatrical business and wardrobes. Following the long and exhausting trial that sentenced their sons to life-imprisonment for murder, Adelle (Debbie Reynolds) and Helen (Shelley Winters) flee to California and attempt to start a new life running a dance school for young talented girls. Particularly Adelle adapts herself perfectly to the new environment, as she falls in love with a local millionaire, but poor old Helen continues to sink in a downwards spiral of insanity and paranoia. She only listens to the ramblings of a radio-evangelist, fears that she will be punished for the crimes her son committed and slowly develops violent tendencies. The script, although not entirely without flaws, is well written and the film is adequately paced. There's never a dull moment in ""What's the matter with Helen"", although the singing, tap-dancing and tango sequences are quite extended and much unrelated to the actual plot. But the atmosphere is continuously ominous and the film definitely benefices from the terrific acting performance of Shelley Winters. She's downright scary as the unpredictable and introvert lady who's about to snap any second and, especially during the last ten minutes or so, she looks more petrifying than all the Freddy Kruegers, Jason Voorhees' and Michael Myers' combined! There are several terrific supportive characters who are, sadly, a little underdeveloped and robbed from their potential, like Michéal MacLiammóir as the cocky elocution teacher, Agnes Moorehead as the creepy priestess and Timothy Carey as the obtrusive visitor to the ladies' house. There are a couple of surprisingly gruesome scenes and moments of genuine shock to enjoy for the Grand Guignol fanatics among us, but particularly the set pieces and costume designs (even nominated for an Oscar!) are breathtaking.",positive
